"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Solyc00g160510.1",13.1202918973922,0.618890605314267,9.12662944445228,4.57420086697259e-06,6.96568498752293e-05,4.48444231521677
"Solyc00g160180.1",13.0215637531316,0.570913949743412,12.640574722972,2.4471954806293e-07,1.25813292887306e-05,6.74197588088166
"Solyc00g019730.2",13.0028420849123,0.562413151523478,15.2346230262024,4.34569315062572e-08,4.3970131258009e-06,7.8755172500326
"Solyc00g500303.1",13.0028420849123,0.562413151523478,15.2346230262024,4.34569315062572e-08,4.3970131258009e-06,7.8755172500326
"Solyc09g009360.1",12.9053565493358,0.513277101026099,9.7954299726266,2.45173666527555e-06,4.86310218594261e-05,4.99697466217457
"Solyc03g113930.3",12.6390052549764,3.67241104766889,18.665142672448,6.45163481538493e-09,1.47876846330969e-06,9.37328622103864
"Solyc00g013180.1",12.6305245586389,1.16612934894178,10.351159059018,1.49928404030452e-06,3.56992126611527e-05,5.38960231027685
"Solyc00g160130.1",12.4037907265229,2.26092225347927,10.3505768796466,1.50003901749862e-06,3.56992126611527e-05,5.38760711779672
"Solyc00g500249.1",12.3921360893963,0.263267503186027,13.0916617842015,1.77270497432461e-07,1.03660891031943e-05,6.96472456203076
"Solyc00g500348.1",12.3921360893963,0.263267503186027,13.0916617842015,1.77270497432461e-07,1.03660891031943e-05,6.96472456203076
"Solyc00g500191.2",14.7710601459825,1.88605271899793,7.81124979778602,3.32863525685821e-10,5.72247877908208e-08,3.15818692823235
"Solyc00g500328.1",10.6628636796226,0.714454698587666,5.48927311979671,1.35642268285455e-06,7.36394735454982e-05,0.263873975318186
"Solyc00g500088.2",-10.0603462351169,4.222289926434,-5.55695792514709,1.06825632250096e-06,5.95625079275533e-05,1.83706390333268
"Solyc06g062950.1",-9.60561217021747,-0.374698046999262,-4.94537148587132,9.02877766878414e-06,0.000407128209073511,-0.488001544638151
"Solyc10g005930.2",-9.01807019968722,-0.703595798992195,-4.69278725926298,2.13861216129296e-05,0.000802173979772251,-0.848547757635561
"Solyc01g106620.2",-8.84363412274191,-0.755731346042335,-4.56930916189516,3.24330393741315e-05,0.00117384842506725,-1.01500348467547
